,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
0,1002903,Sanskriti,P00125942,F,26-35,28,0,Maharashtra,Western,Healthcare,Auto,1,23952.0,,
1,1000732,Kartik,P00110942,F,26-35,35,1,Andhra Pradesh,Southern,Govt,Auto,3,23934.0,,
2,1001990,Bindu,P00118542,F,26-35,35,1,Uttar Pradesh,Central,Automobile,Auto,3,23924.0,,
6,1001132,Balk,P00018042,F,18-25,25,1,Uttar Pradesh,Central,Lawyer,Auto,4,23841.0,,
7,1002092,Shivangi,P00273442,F,55+,61,0,Maharashtra,Western,IT Sector,Auto,1,,,
9,1003650,Ginny,P00031142,F,26-35,26,1,Andhra Pradesh,Southern,Media,Auto,4,23799.99,,
11,1000214,Kargatis,P00119142,F,18-25,20,0,Andhra Pradesh,Southern,Retail,Auto,2,23752.0,,
12,1004035,Elijah,P00080342,F,18-25,20,1,Andhra Pradesh,Southern,IT Sector,Auto,2,23730.0,,
15,1000813,Lauren,P00289942,F,18-25,24,0,Andhra Pradesh,Southern,Govt,Auto,2,23664.0,,
16,1005447,Amy,P00275642,F,46-50,48,1,Andhra Pradesh,Southern,IT Sector,Auto,3,,,
17,1001193,Mick,P00004842,F,26-35,29,0,Andhra Pradesh,Southern,Aviation,Auto,1,23619.0,,
20,1000113,Ellis,P00180642,F,18-25,19,1,Andhra Pradesh,Southern,Govt,Auto,4,23546.0,,
21,1000416,Hrisheekesh,P00181842,F,46-50,46,1,Uttar Pradesh,Central,Banking,Auto,2,23525.0,,
22,1005256,Grant,P00101742,F,26-35,30,0,Andhra Pradesh,Southern,IT Sector,Auto,1,23518.0,,
23,1001505,Gilcrest,P00271842,F,51-55,53,0,Uttar Pradesh,Central,Automobile,Auto,2,23515.0,,
25,1005908,Eric,P00282642,F,26-35,33,0,Andhra Pradesh,Southern,IT Sector,Auto,3,23462.0,,
26,1001101,Gibson,P00234742,F,36-45,40,0,Uttar Pradesh,Central,Banking,Auto,3,23456.0,,
